MONTH,FL_DATE,MKT_UNIQUE_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,CARRIER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
1,1/1/2026 12:00:00 AM,AA,5049,11057,1105704,31057,11146,1114608,31146,CRW,1620,1616,-4.00,0.00,,0.00,,,,
1,1/1/2026 12:00:00 AM,AA,5049,11146,1114608,31146,11057,1105704,31057,CLT,1759,1809,10.00,0.00,,0.00,,,,
1,1/1/2026 12:00:00 AM,AA,5231,11146,1114608,31146,11057,1105704,31057,CLT,0711,1152,281.00,0.00,,0.00,0.00,0.00,0.00,0.00
1,1/1/2026 12:00:00 AM,AA,5232,11057,1105704,31057,11146,1114608,31146,CRW,1140,,,1.00,B,0.00,,,,
1,1/1/2026 12:00:00 AM,AA,5232,11146,1114608,31146,11057,1105704,31057,CLT,1326,,,1.00,B,0.00,,,,
1,1/1/2026 12:00:00 AM,AA,5263,11057,1105704,31057,11146,1114608,31146,CRW,2305,2301,-4.00,0.00,,0.00,,,,
1,1/1/2026 12:00:00 AM,AA,5366,11057,1105704,31057,11146,1114608,31146,CRW,0920,,,1.00,B,0.00,,,,
1,1/1/2026 12:00:00 AM,AA,5366,11146,1114608,31146,11057,1105704,31057,CLT,1111,,,1.00,B,0.00,,,,
1,1/1/2026 12:00:00 AM,AA,5900,11057,1105704,31057,12223,1222305,32223,HTS,1350,1349,-1.00,0.00,,0.00,,,,
1,1/1/2026 12:00:00 AM,AA,5900,12223,1222305,32223,11057,1105704,31057,CLT,1540,1537,-3.00,0.00,,0.00,,,,
1,1/1/2026 12:00:00 AM,AA,5922,11057,1105704,31057,12223,1222305,32223,HTS,2234,2226,-8.00,0.00,,0.00,,,,
1,1/1/2026 12:00:00 AM,AA,5955,12223,1222305,32223,11057,1105704,31057,CLT,0500,0452,-8.00,0.00,,0.00,,,,
1,1/1/2026 12:00:00 AM,AA,5985,11057,1105704,31057,12223,1222305,32223,HTS,0910,0904,-6.00,0.00,,0.00,,,,
1,1/1/2026 12:00:00 AM,AA,5985,12223,1222305,32223,11057,1105704,31057,CLT,1107,1114,7.00,0.00,,0.00,,,,
1,1/1/2026 12:00:00 AM,DL,5106,11146,1114608,31146,10397,1039708,30397,ATL,0600,0550,-10.00,0.00,,0.00,0.00,39.00,0.00,0.00
1,1/1/2026 12:00:00 AM,DL,5111,10397,1039708,30397,11146,1114608,31146,CRW,1015,1129,74.00,0.00,,0.00,0.00,0.00,0.00,0.00
1,1/1/2026 12:00:00 AM,DL,5111,11146,1114608,31146,10397,1039708,30397,ATL,1225,1333,68.00,0.00,,0.00,3.00,8.00,0.00,65.00
1,1/1/2026 12:00:00 AM,DL,5147,10397,1039708,30397,11146,1114608,31146,CRW,1930,1922,-8.00,0.00,,0.00,,,,
1,1/1/2026 12:00:00 AM,G4,1227,14761,1476108,34761,11027,1102705,31027,CKB,1625,1642,17.00,0.00,,0.00,0.00,22.00,0.00,17.00
1,1/1/2026 12:00:00 AM,G4,2832,11027,1102705,31027,14761,1476108,34761,SFB,1915,2046,91.00,0.00,,0.00,52.00,0.00,0.00,16.00
1,1/1/2026 12:00:00 AM,G4,2880,12223,1222305,32223,14761,1476108,34761,SFB,1343,1423,40.00,0.00,,0.00,18.00,0.00,0.00,0.00
1,1/1/2026 12:00:00 AM,G4,2924,14761,1476108,34761,12223,1222305,32223,HTS,1100,1109,9.00,0.00,,0.00,0.00,11.00,9.00,0.00
1,1/1/2026 12:00:00 AM,UA,4697,11146,1114608,31146,13930,1393008,30977,ORD,1357,1427,30.00,0.00,,0.00,0.00,0.00,0.00,28.00
1,1/1/2026 12:00:00 AM,UA,5134,13282,1328207,33282,13930,1393008,30977,ORD,1050,1324,154.00,0.00,,0.00,0.00,25.00,0.00,0.00
1,1/1/2026 12:00:00 AM,UA,5138,13930,1393008,30977,13282,1328207,33282,MGW,2117,0655,578.00,0.00,,0.00,0.00,611.00,0.00,0.00
1,1/1/2026 12:00:00 AM,UA,5289,13930,1393008,30977,11146,1114608,31146,CRW,1035,1118,43.00,0.00,,0.00,0.00,0.00,0.00,24.00
1,1/1/2026 12:00:00 AM,UA,5790,13930,1393008,30977,11146,1114608,31146,CRW,1751,1808,17.00,0.00,,0.00,17.00,18.00,0.00,0.00
1,1/1/2026 12:00:00 AM,UA,5801,11146,1114608,31146,13930,1393008,30977,ORD,0700,1203,303.00,0.00,,0.00,0.00,13.00,0.00,303.00
1,1/2/2026 12:00:00 AM,AA,5049,11057,1105704,31057,11146,1114608,31146,CRW,1620,1621,1.00,0.00,,0.00,,,,
1,1/2/2026 12:00:00 AM,AA,5049,11146,1114608,31146,11057,1105704,31057,CLT,1759,1757,-2.00,0.00,,0.00,,,,
1,1/2/2026 12:00:00 AM,AA,5231,11146,1114608,31146,11057,1105704,31057,CLT,0711,0712,1.00,0.00,,0.00,,,,
1,1/2/2026 12:00:00 AM,AA,5263,11057,1105704,31057,11146,1114608,31146,CRW,2305,2258,-7.00,0.00,,0.00,,,,
1,1/2/2026 12:00:00 AM,AA,5366,11057,1105704,31057,11146,1114608,31146,CRW,0920,0929,9.00,0.00,,0.00,,,,
1,1/2/2026 12:00:00 AM,AA,5366,11146,1114608,31146,11057,1105704,31057,CLT,1111,1123,12.00,0.00,,0.00,5.00,4.00,0.00,7.00
1,1/2/2026 12:00:00 AM,AA,5900,11057,1105704,31057,12223,1222305,32223,HTS,1350,1342,-8.00,0.00,,0.00,,,,
1,1/2/2026 12:00:00 AM,AA,5900,12223,1222305,32223,11057,1105704,31057,CLT,1540,1527,-13.00,0.00,,0.00,,,,
1,1/2/2026 12:00:00 AM,AA,5922,11057,1105704,31057,12223,1222305,32223,HTS,2234,2226,-8.00,0.00,,0.00,,,,
1,1/2/2026 12:00:00 AM,AA,5955,12223,1222305,32223,11057,1105704,31057,CLT,0500,0449,-11.00,0.00,,0.00,,,,
1,1/2/2026 12:00:00 AM,AA,5985,11057,1105704,31057,12223,1222305,32223,HTS,0910,0902,-8.00,0.00,,0.00,,,,
1,1/2/2026 12:00:00 AM,AA,5985,12223,1222305,32223,11057,1105704,31057,CLT,1107,1055,-12.00,0.00,,0.00,,,,
1,1/2/2026 12:00:00 AM,DL,5106,11146,1114608,31146,10397,1039708,30397,ATL,0600,0554,-6.00,0.00,,0.00,,,,
1,1/2/2026 12:00:00 AM,DL,5111,10397,1039708,30397,11146,1114608,31146,CRW,1015,1009,-6.00,0.00,,0.00,,,,
1,1/2/2026 12:00:00 AM,DL,5111,11146,1114608,31146,10397,1039708,30397,ATL,1225,1218,-7.00,0.00,,0.00,,,,
1,1/2/2026 12:00:00 AM,DL,5147,10397,1039708,30397,11146,1114608,31146,CRW,2045,2219,94.00,0.00,,0.00,25.00,0.00,0.00,68.00
1,1/2/2026 12:00:00 AM,UA,4697,11146,1114608,31146,13930,1393008,30977,ORD,1357,1347,-10.00,0.00,,0.00,,,,
1,1/2/2026 12:00:00 AM,UA,5025,12264,1226403,30852,13282,1328207,33282,MGW,0845,0835,-10.00,0.00,,0.00,,,,
1,1/2/2026 12:00:00 AM,UA,5078,13282,1328207,33282,12264,1226403,30852,IAD,0615,1042,267.00,0.00,,0.00,0.00,5.00,0.00,267.00
1,1/2/2026 12:00:00 AM,UA,5134,13282,1328207,33282,13930,1393008,30977,ORD,1050,1117,27.00,0.00,,0.00,23.00,0.00,0.00,0.00
1,1/2/2026 12:00:00 AM,UA,5138,13930,1393008,30977,13282,1328207,33282,MGW,2117,2242,85.00,0.00,,0.00,66.00,0.00,0.00,0.00
1,1/2/2026 12:00:00 AM,UA,5289,13930,1393008,30977,11146,1114608,31146,CRW,1035,1033,-2.00,0.00,,0.00,,,,
1,1/2/2026 12:00:00 AM,UA,5790,13930,1393008,30977,11146,1114608,31146,CRW,1751,1745,-6.00,0.00,,0.00,,,,
1,1/2/2026 12:00:00 AM,UA,5801,11146,1114608,31146,13930,1393008,30977,ORD,0700,0705,5.00,0.00,,0.00,,,,
1,1/3/2026 12:00:00 AM,AA,5049,11057,1105704,31057,11146,1114608,31146,CRW,1620,1617,-3.00,0.00,,0.00,,,,
